text_es,label
"Mientras que muchos en los Estados Unidos han llegado a la decisión lógica de que Donald Trump está furioso, todavía hay aquellos que aparentemente le han hecho su elección para presidente.Una de esas personas estaba en la audiencia para una grabación de ABCs The View y fue cuestionada por Joy Behar después del show.Cuando a la mujer que apoya a Trump (sí, mujer) se le pregunta por qué, ella se niega a decir por qué, si yo puedo añadir que es muy Trumpiano, porque Trump siempre hace afirmaciones sin nada para respaldarlo o bien él entonces explica que ella votó por el presidente Obama, pero dijo que era el mayor error de su vida. Luego dijo que ella trabaja en un hospital y odia a Obamacare, aunque momentos después dijo que estaba desempleada durante un año.Ella de alguna manera piensa que Trump sería mejor para la salud y los desempleados.Cuando se le preguntó si tal vez ella debería apoyar a Bernie Sanders, quien quiere proporcionar un pagador único y una mejor red de seguridad, ella se negó categóricamente.",0
"Oh boy! La izquierda va balística sobre el tiro de golf, pero ahora tenemos el pase de fútbol. ¡El video de abajo es una toma del reciente video de Trump golpeando una pelota de golf en Hillary Clinton (no realmente) y haciendo su caída (ver más abajo).¡Wow, @realDonaldTrump ha sido un gran atleta desde 1992! ¡Mira ese objetivo impecable! pic.twitter.com/7AfmEq8WkU /pol/ News Infinity (@polNewsInfinity) September 18, 2017TRUMP S BEST GOLF SHOT EVER!El 13 de septiembre, el presidente Trump advirtió a Hillary en Twitter que los estadounidenses que ella se refirió como un deplorabes volverían a atormentarla, mientras viaja por toda la nación sobre su culpa a cualquiera y a todos menos a mí reservar gira por su vergonzoso nuevo libro What Happened .The ""deplorables"" volvieron a perseguir a Hillary.",0
"La izquierda se ha asegurado de que este año se han producido 18 tiroteos en escuelas. Esta es la FAKE NEWS que debe cerrarse. Bernie Sanders y otros se refirieron a esta estadística inmediatamente después del tiroteo en masa en Parkland. Los grupos anti-gun incluyó en las estadísticas un suicidio en una escuela en Michigan que había sido cerrada. Esta estadística falsa trivializa el crimen horrible que ocurrió en una escuela en Parkland o cualquier otro tiroteo en la escuela TRUE. TODOS LOS GUN SAFETY TRIES PARA HIJAR LA NARRATIVA:Everytown for Gun Safety, el grupo anti-gun Michael Bloomberg apoyó después del tiroteo en 2012 en Newtown, Connecticut, fue la fuente original para esa estadística en particular. El tuit inicial del grupo afirmando que el ataque en Marjory Stoneman Douglas High School para HIJAR LA NARRATIVA fue el tiroteo en la escuela 18a en 2018 ha sido retuiteado más de 1.200 veces:Nuestros corazones están con todos los afectados por el tiroteo en la universidad en Marjory Stoneman High School en la universidad, pero aún más de EE.UU.",0
"CNN está viendo finalmente las serias repercusiones de reportar #VeryFakeNews, mientras que Fox News sigue siendo el número uno en calificaciones.Las calificaciones de CNN están cayendo, de acuerdo con un informe del jueves de TV por cable por parte de TV News.CNN cayó al décimo lugar en la audiencia media del día total entre todas las redes básicas de cable en la semana del 26 de junio al 2 de julio, muy por detrás de Fox News en primer lugar y MSNBC en tercer lugar.Un promedio de 639,000 espectadores sintonizaron a CNN por día durante el período de medición, menos de la mitad del promedio de 1.390.000 espectadores perdió un promedio de 159.000 espectadores por día desde la semana del 29 de mayo hasta la semana del 26 de junio.Fox News y CNN continuaron subiendo en las calificaciones de los ciudadanos como CNN en el caso de que la nota de la junta general de EE.UU. mantiene el número uno de los informes de la junta general de cable, ganando un promedio de 7.000 espectadores por día desde la semana del 29 de mayo a la semana del 26 de junio.",0
"En este punto, Estados Unidos se ha familiarizado bastante con Donald Trump y sus travesuras. Él continúa mostrando su racismo y misoginia en un nivel invisible en el mundo político de Estados Unidos desde que Jim Crow existió, cuando los políticos no estaban controlados por la corrección política. En su último enfrentamiento con Megyn Kelly, Trump ha decidido dar marcha atrás y huir de los debates. Whoopi Goldberg, sin embargo, tiene un mensaje para Trump. En la opinión de ABC, ella dijo: Eres un cobarde, Donald. Eres un cobarde. Si vas a ser presidente de los Estados Unidos, tienes que ir y hablar con la gente que no te guste. [youtube https://www.youtube.com/watch?v=ZalM_vT_frc] Coward es definitivamente la palabra correcta para describir a Trump, no solo por saltar los debates, sino por tener demasiado miedo de hacer lo correcto. Desde la controversia con Kelly, decenas de miles de partidarios de Trump se han puesto en contacto con él para hablar de sus cosas más duras, ha dicho que Bitch, por ejemplo, ha tuiteado 423 veces y cuenta.",0
"¿Puede alguien decir a este tipo de congresista de mierda que la sala de emergencias NO es cobertura de salud?El martes, GOP Rep. Jason Chaffetz dijo a los estadounidenses de bajos ingresos que si quieren atención médica deberían dejar de comprar iPhones, aunque un iPhone es diez veces más barato al año que la prima promedio del seguro de salud. Usted sabe qué, los estadounidenses tienen opciones, y tienen que hacer una elección, Chaffetz dijo. Y así tal vez, en lugar de conseguir que el nuevo iPhone que sólo les encanta y quieren ir a gastar cientos de dólares en, tal vez deberían invertir en su propia cobertura de seguro de salud. Un plan de pago mensual para un iPhone es de menos de $30 mientras que el seguro de salud cuesta más de $200 al mes. Mucho más de millones de estadounidenses pueden pagar, incluso si no tienen seguro médico de salud, y por lo tanto, la cantidad de seguro de salud que se les dice que se les da cuenta en primer lugar.",0
"Una vez más, el Partido Republicano debería avergonzarse de que Donald Trump sea su candidato.Durante una conferencia de prensa el miércoles, Trump respondió preguntas sobre sus vínculos con Rusia y Vladamir Putin.Él lo negó, por supuesto, pero abiertamente instó a Rusia a cometer un acto de espionaje contra Hillary Clinton y el Gobierno de los Estados Unidos.Primero, Trump condenó el hackeo del DNC que le dio municiones para usar contra los demócratas y luego instó a Rusia a hacer aún más.Rusia, si usted vuelve a escuchar, espero que pueda encontrar los 30.000 correos electrónicos que faltan, Trump dijo.Creo que probablemente se verá recompensado poderosamente por nuestra prensa.Aquí está el video a través de YouTube.Bueno, los medios de comunicación ciertamente no premiaron a Trump por llamar a Rusia a continuar sus ataques cibernéticos contra Hillary Clinton y nuestras instituciones gubernamentales.David Gregory comparó a Trump con un niño jugando con partidos y dijo que se ha quedado sin palabras para expresar su conmoción ante las cosas que Trump dice y hace frente al gobierno de Trump.",0
"Los supremacistas blancos están celebrando el ascenso de Donald Trump a la cima del Partido Republicano y el líder del KKK David Duke se jactó de ello en la radio.Hablando con Don Advo esta semana sobre la decisión de Trump de contratar al jefe de Breitbart Stephen K. Bannon para ser su CEO de campaña, Duke, quien es un racista ex Gran Mago del KKK, rugió su aprobación de la elección ya que tanto Advo como Duke aplaudieron que los supremacistas blancos se habían hecho cargo del Partido Republicano, aunque Advo declaró que todavía había pedevils en el algodón. Ya sabes, porque el algodón es blanco y los pedevils son insectos negros o marrones. Por lo tanto, algo asombroso ha sucedido.Parece que el Partido Republicano se ha hecho cargo del Partido Republicano, pero Advo ha declarado que el placer de sus fans de Stormfront es lo único que tiene.Bueno, rango y archivo, pero muchos de esos pedeviles todavía están en esas bolas de algodón, y, uh, el Partido Republicano se hizo cargo de la junta de EE.UU.UU.",0
"¿Qué es en el mundo con Obama y los criminales? Él los libera temprano y actúa como si fueran acusados erróneamente. Tal vez, a sus ojos fueron acusados erróneamente pero él no es juez, jurado y verdugo. Dijo que siente que los hombres afroamericanos han sido tratados injustamente en el sistema de justicia penal. En otras palabras, ¡ellos son las víctimas! Alrededor de uno de cada 35 hombres afroamericanos, uno de cada 88 hombres latinos está cumpliendo condena Los afroamericanos son más propensos a ser arrestados. ObamaUna nueva auditoría federal acaba de salir y parece que Obama favorece a los delincuentes sobre casi todos en el ejército y nuestros ancianos también! El presidente Obama ha demostrado repetidamente que hay un lugar especial en su corazón para los delincuentes encarcelados, pero esto es un poco más que los servicios médicos de los EE.UU. La administración gasta mucho más dinero en el cuidado médico de los presos que los ancianos jubilados en Medicare, el personal militar activo o los veteranos de los EE.UU. pagan a los servicios médicos de los EE.UU., los servicios médicos de los EE.",0
"Cuando bajan, vamos alto, la Primera Dama Michelle Obama dijo a la multitud en la Convención Democrática de 2016 un mensaje que su esposo parece haber tomado en serio.El viernes, un pro Trump Deplorable apareció al discurso del Presidente en Carolina del Norte, pero Obama no pidió la muerte o la paliza del anciano, y ciertamente no insultó al fan de Trump. En cambio, calmó a la multitud. ¡Oye! ¡Oye! ¡Escucha! Te dije que te concentraras y no te concentras ahora. Escucha lo que estoy diciendo, dijo, incluso diciendo aguantar unas 18 veces para que la multitud deje de abuchear al Sr. Trump Fan. Todo el mundo se sienta y se calle por un segundo. No haciendo nada, el Presidente continuó. No tienes que preocuparte por él. En lugar de insultar al hombre por usar lo que parece ser un uniforme militar como Trump haría, el Presidente pidió a la multitud que respetara el servicio del hombre a su país.",0
